00001ADAMSON             01010400001455032420102150006750004001001151993          
00002BAKER               01010500000195342500201275508005002500003201994          
00003CARTWELL            01011000001278314590502170509752503003204101995          
00004DORSEY              01010450001128056510201280008005002902702021993          
00005HAMMOND             01010500000851297500402195009000010004005051995          
00006NOLTE               01010450001255583250402135009002502200506271993          
00007REDFORD             01010480001225759830302290758507501801011011995          
00008JOHNKE              01010550001285320000203220008002501001201151993          
00009WHITE               01010590000189744370102350006750000500006201994          
00010MARSHALL            01010530001258021960203270258005000803511291996          
00011EISEN               01020500001358012770401325009005004504009281994          
00012SAGER               01020680001955302190201290008002509504007251997          
00013STERN               01020680000885677240402320759000002001010011994          
00014SUMMERS             01020675000339955270101375006750002501502011995          
00015JONES               01020400000113387720903210009957501700905051998          
00016JOHNSON             01021000001458814770203225258007503201208011998          
00017NOLAN               01020447500518733230203325008002500200707151993          
00018CANTWELL            01020682501813795500102255506752508704006281993          
00019SMITH               01020750000112050300301110008505005203902151993          
00020HAMMEL              01020591001249867430202280008000000500203201993          
00021RAMIREZ             02010570430310590900635136290553310400007281995          
00022WASHINGTON          02010473082100667010314211721017903368400011999          
00023JAMES               02010457163093240100691078470992184650703211995          
00024LYONS               02010652029064207550156103510361003986100281995          
00025GREGORY             02010671905359420320507219131083675210308281994          
00026LINCOLN             02010432620180735220459163071106950572012281994          
00027NEWMAN              02010465310429978040245124220560033498211041998          
00028CARTWELL            02010470823534250770168221890877521043609041995          
00029DREYFUS             02010831081933063410632132630443940552118171997          
00030LOPEZ               02010920180374188020314156220932382005712281996          
00031FRANKLIN            02020445211841103830276034561004850236609201995          
00032FORTE               02020439723590620890233218310348113219812271998          
00033BYRON               02020556017210804710121175001069207773407251993          
00034KEATS               02020438943285144250416203660312960851905201996          
00035SOMTER              02020716132050821550635214920556354213717011993          
00036PITERIS             02020450000528795440165478912000124587406021993          
00037SIMOS               02020689000695525480556888457123110021419031994          
00038ASHLEY              02020758002357812220256871002145874445508041995          
00039BUTTERFIELD         02020432000052587770369855821470012457805051997          
00040CALIOPIS            02020960000239884470900369582147456665416061998          
00041DESEREY             03010850003695522880803256502584555442513061995          
00042FIELDSON            03010523001122056990731465589702155446911071994          
00043GALAGHER            03010890009988025210512258794002548023002151994          
00044HOUSTONS            03010520000685442130645687111245552020007161998          
00045JACKSON             03010870000988258770289878232333544801404171993          
00046KENDERSON           03010360000366651470245781002541479872501181993          
00047LIPSTERS            03010685000024144470112354556888124770305191994          
00048MANATARIS           03010400000699874420302541236987452145218201999          
00049NICHOLSON           03010555000665520310645877123654545781416211995          
00050OBERTON             03010750000114899450645687123002144587508221993          
00051PETERS              03020630000233564780823568711245003254817231994          
00052ROBERTS             03020652004581122000712554542358914725804241994          
00053SERGIS              03020870000458866450700214587012143692511281993          
00054TUCKERSON           03020650000982145660801245870001245558900191995          
00055VRICOLICSON         03020500000652333450912011474453021165815181997          
00056MACALUSO            03020758000639457880900124555241117113319171996          
00057KORNS               03020600005662111400978902235455546958805191993          
00058OKINS               03020756006547888000578978000214501245602121993          
00059FRIEDMAN            03020895009875522010145678780012124654505111993          
00060SANTOS              03020471000369852250178971254565800125504101993          
