00001ADAMSON             010104000014550324201021500067500040010011593          
00002BAKER               010105000001953425002012755080050025000032094          
00003CARTWELL            010110000012783145905021705097525030032041095          
00004DORSEY              010104500011280565102012800080050029027020293          
00005HAMMOND             010205000008512975004021950090000100040050595          
00006NOLTE               010204500012555832504021350090025022005062793          
00007REDFORD             010204800012257598303022907585075018010110195          
00008JOHNKE              020105500012853200002032200080025010012011593          
00009WHITE               020105900001897443701023500067500005000062094          
00010MARSHALL            020105300012580219602032702580050008035112994          
00011EISEN               020105000013580127704013250090050045040092894          
00012SAGER               020206800019553021902012900080025095040072594          
00013STERN               020206800008856772404023207590000020010100194          
00014SUMMERS             020206750003399552701013750067500025015020195          
00015JONES               030104000001133877209032100099575017009050595          
00016JOHNSON             030110000014588147702032252580075032012080195          
00017NOLAN               030104475005187332302033250080025002007071593          
00018CANTWELL            030206825018137955001022555067525087040062893          
00019SMITH               030207500001120503003011100085050052039021593          
00020HAMMEL              030205910012498674302022800080000005002032093          
00021RAMIREZ             030205704303105909006351362905533104000072895          
00022WASHINGTON          030204730821006670103142117210179033684000195          
00023JAMES               030304571630932401006910784709921846507032195          
00024LYONS               040106520290642075501561035103610039861002895          
00025GREGORY             040106719053594203205072191310836752103082894          
00026LINCOLN             040104326201807352204591630711069505720122894          
00027NEWMAN              040204653104299780402451242205600334982110494          
00028CARTWELL            040204708235342507701682218908775210436090495          
00029DREYFUS             050108310819330634106321326304439405521181795          
00030LOPEZ               050209201803741880203141562209323820057122895          
00031FRANKLIN            050204452118411038302760345610048502366092095          
00032FORTE               050204397235906208902332183103481132198122795          
00033BYRON               050205560172108047101211750010692077734072593          
00034KEATS               050304389432851442504162036603129608519052096          
00035SOMTER              050307161320508215506352149205563542137170193          
00036PITERIS             060404500005287954401654789120001245874060293          
00037SIMOS               060406890006955254805568884571231100214190394          
00038ASHLEY              060407580023578122202568710021458744455080495          
00039BUTTERFIELD         060404320000525877703698558214700124578050595          
00040CALIOPIS            060309600002398844709003695821474566654160695          
00041DESEREY             060208500036955228808032565025845554425130695          
00042FIELDSON            070105230011220569907314655897021554469110794          
00043GALAGHER            070808900099880252105122587940025480230021594          
00044HOUSTONS            070905200006854421306456871112455520200071694          
00045JACKSON             070208700009882587702898782323335448014041793          
00046KENDERSON           070203600003666514702457810025414798725011893          
00047LIPSTERS            070206850000241444701123545568881247703051994          
00048MANATARIS           070404000006998744203025412369874521452182095          
00049NICHOLSON           080505550006655203106458771236545457814162195          
00050OBERTON             080607500001148994506456871230021445875082293          
00051PETERS              080606300002335647808235687112450032548172394          
00052ROBERTS             080606520045811220007125545423589147258042494          
00053SERGIS              080908700004588664507002145870121436925112893          
00054TUCKERSON           080106500009821456608012458700012455589001995          
00055VRICOLICSON         080205000006523334509120114744530211658151895          
00056MACALUSO            080207580006394578809001245552411171133191795          
00057KORNS               080306000056621114009789022354555469588051993          
00058OKINS               090407560065478880005789780002145012456021293          
00059FRIEDMAN            090508950098755220101456787800121246545051193          
00060SANTOS              090504710003698522501789712545658001255041093          
00061ANDOLINI            090405530002335666402124565478701444110160193          
00062RUTH                090805000001478882503123547800014255252130293          
00063APPLESEED           090309080001112458704123500058741444369150394          
00064RIVERA              090208862309987223305789451233360025250180494          
00065RIVERSON            090105290006874114706789251422020369855140794          
